ClienteCodigo,Potencial
0000251166,P3
0000239355,P1
0000238613,P3
0000238661,P3
0000238796,P2
0000238803,P2
0000238846,P4
0000258992,P2
0000259132,P2
0000258033,P1
0000522889,P1
0000241391,P3
0000345888,P4
0000346392,P2
0000241644,P2
0000346912,P1
0000244446,P1
0000350034,P3
0000255968,P3
0000350991,P4
0000352313,P1
0000395154,P4
0000247990,P3
0000363273,P3
0000399246,P2
0000231160,P2
0000231194,P1
0000231277,P2
0000231185,P2
0000232366,P2
0000233543,P2
0000233616,P2
0000234208,P3
0000233628,P1
0000233633,P2
0000233677,P3
0000363445,P2
0000399523,P1
0000249927,P3
0000237667,P4
0000232587,P2
0000232714,P2
0000232839,P4
0000232935,P4
0000233132,P1
0000264338,P2
0000264440,P4
0000389988,P3
0000380572,P1
0000380640,P3
0000380847,P1
0000253617,P1
0000238147,P2
0000254317,P4
0000238395,P4
0000238494,P2
0000241868,P2
0000239715,P2
0000242076,P1
0000239794,P3
0000241695,P3
0000241869,P1
0000397253,P4
0000397390,P4
0000245648,P3
0000245878,P1
0000246056,P4
0000260028,P2
0000239395,P4
0000238971,P4
0000263485,P2
0000252378,P2
0000252709,P3
0000246404,P3
0000267264,P2
0000267330,P2
0000267352,P2
0000267566,P2
0000268980,P1
0000393780,P2
0000246771,P2
0000269206,P2
0000242169,P3
0000242304,P2
0000242502,P2
0000420902,P1
0000233499,P2
0000233517,P2
0000242702,P2
0000230338,P2
0000230369,P2
0000230422,P1
0000230456,P3
0000230271,P2
0000269309,P4
0000269344,P3
0000271358,P2
0000274166,P2
0000311729,P4
0000311972,P2
0000254577,P2
0000312468,P4
0000274688,P2
0000268049,P2
0000268284,P2
0000382461,P2
0000382811,P2
0000230375,P2
0000230437,P3
0000230441,P1
0000239810,P3
0000239608,P2
0000240085,P2
0000240153,P3
0000240249,P1
0000240396,P2
0000240458,P3
0000240845,P3
0000240912,P4
0000232565,P2
0000232616,P2
0000232628,P1
0000232715,P2
0000232853,P2
0000291088,P2
0000294892,P3
0000295675,P2
0000295732,P2
0000260540,P1
0000263514,P1
0000263546,P4
0000389311,P1
0000365205,P4
0000366396,P1
0000366485,P2
0000366702,P3
0000366705,P3
0000241829,P1
0000367290,P4
0000367407,P3
0000367646,P1
0000278988,P1
0000296947,P2
0000297277,P4
0000395434,P1
0000235600,P1
0000234733,P1
0000234743,P2
0000236049,P2
0000234927,P2
0000240982,P2
0000265827,P3
0000392290,P3
0000248362,P3
0000291896,P2
0000292633,P2
0000405271,P1
0000294912,P2
0000520003,P4
0000297365,P3
0000233506,P2
0000233683,P1
0000233760,P1
0000233945,P2
0000241685,P3
0000242074,P1
0000242223,P4
0000239839,P1
0000239860,P3
0000242241,P3
0000242339,P4
0000392755,P3
0000392778,P2
0000265280,P3
0000242342,P2
0000239922,P1
0000242427,P1
0000242473,P2
0000266197,P1
0000393012,P3
0000393194,P4
0000241748,P1
0000241793,P2
0000241895,P2
0000241956,P4
0000242105,P2
0000397002,P3
0000397085,P3
0000254366,P2
0000254430,P2
0000238376,P2
0000254568,P4
0000238428,P2
0000521768,P1
0000235683,P2
0000235686,P3
0000390260,P4
0000264739,P3
0000380935,P3
0000245843,P3
0000303181,P1
0000304540,P1
0000390781,P1
0000260809,P3
0000260862,P3
0000260875,P3
0000392844,P1
0000392849,P4
0000392974,P1
0000249976,P2
0000251364,P1
0000252967,P3
0000254563,P4
0000254620,P2
0000245293,P1
0000245500,P2
0000245621,P4
0000245643,P3
0000245688,P1
0000415717,P3
0000238212,P3
0000233110,P2
0000238408,P1
0000233208,P2
0000233237,P2
0000388971,P3
0000389007,P1
0000295630,P4
0000100010,P3
0000294347,P2
0000295285,P4
0000296472,P2
0000530743,P4
0000530724,P4
0000528749,P2
0000528738,P3
0000528736,P3
0000529349,P4
0000528831,P4
0000528852,P4
0000528543,P4
0000528511,P4
0000528545,P2
0000528667,P2
0000528564,P4
0000528569,P4
0000528643,P2
0000528690,P3
0000528684,P4
0000528585,P3
0000525291,P4
0000528516,P4
0000523921,P4
0000523982,P4
0000525328,P4
0000524248,P4
0000524233,P4
0000523893,P1
0000524029,P2
0000525434,P1
0000526216,P4
0000527481,P4
0000527959,P1
0000527426,P3
0000526878,P4
0000524937,P4
0000528169,P2
0000527259,P4
0000527407,P4
0000528507,P4
0000524167,P4
0000528223,P1
0000526923,P4
0000523818,P3
0000523830,P3
0000523844,P1
0000523851,P1
0000525192,P4
0000525215,P3
0000525233,P2
0000525139,P3
0000525156,P3
0000525182,P4
0000525178,P2
0000521248,P2
0000521074,P3
0000395285,P1
0000248035,P3
0000233899,P1
0000233946,P2
0000234735,P1
0000234747,P2
0000234082,P2
0000234809,P4
0000234111,P3
0000264900,P3
0000278739,P3
0000240513,P2
0000240528,P1
0000240755,P2
0000247421,P2
0000256964,P1
0000247665,P1
0000247762,P3
0000311021,P4
0000311895,P2
0000261781,P1
0000238247,P2
0000262147,P4
0000238872,P4
0000258799,P2
0000258921,P4
0000387608,P2
0000387660,P2
0000237039,P3
0000237056,P1
0000237107,P2
0000232781,P1
0000232785,P2
0000237333,P2
0000232796,P2
0000237653,P4
0000247981,P1
0000248136,P1
0000248166,P4
0000248260,P1
0000383489,P2
0000248399,P4
0000383557,P2
0000248683,P3
0000249137,P2
0000249280,P2
0000249379,P2
0000249589,P4
0000249700,P2
0000249706,P4
0000244190,P1
0000244222,P2
0000243502,P2
0000244606,P4
0000244787,P2
0000244811,P3
0000244896,P3
0000392805,P2
0000530738,P1
0000530739,P2
0000530732,P2
0000529863,P3
0000529972,P4
0000530626,P2
0000529802,P4
0000528802,P3
0000528775,P4
0000528744,P4
0000528825,P2
0000528848,P3
0000528927,P3
0000528865,P4
0000528758,P4
0000528757,P4
0000528767,P4
0000528788,P3
0000528874,P4
0000528967,P2
0000529251,P1
0000528491,P1
0000528534,P3
0000528582,P2
0000528646,P3
0000528515,P1
0000523805,P3
0000524666,P4
0000525396,P4
0000525362,P3
0000527092,P4
0000527443,P1
0000528488,P4
0000528407,P3
0000528700,P4
0000528231,P4
0000527741,P4
0000523936,P3
0000523857,P2
0000523868,P3
0000523849,P4
0000523873,P4
0000523901,P2
0000525142,P3
0000525200,P3
0000525185,P4
0000525136,P4
0000525213,P4
0000525241,P2
0000525150,P2
0000525243,P2
0000525177,P3
0000525149,P4
0000525287,P3
0000525267,P2
0000525432,P4
0000525437,P4
0000521107,P3
0000521116,P4
0000521127,P2
0000521135,P2
0000233927,P1
0000234852,P4
0000234102,P1
0000235003,P2
0000235008,P1
0000235052,P3
0000235076,P1
0000256045,P3
0000241722,P4
0000351771,P4
0000241776,P2
0000233184,P1
0000233196,P1
0000233258,P4
0000233461,P1
0000288262,P1
0000254305,P2
0000238273,P4
0000238307,P2
0000254570,P2
0000254582,P3
0000254642,P2
0000397334,P4
0000397362,P2
0000397406,P2
0000397501,P3
0000245655,P3
0000380975,P4
0000245965,P3
0000390696,P1
0000264937,P4
0000391162,P3
0000386096,P4
0000404098,P3
0000392905,P1
0000237594,P4
0000238061,P3
0000250559,P4
0000250786,P3
0000251093,P4
0000251196,P2
0000280539,P4
0000245162,P3
0000245467,P4
0000245680,P4
0000283733,P4
0000284761,P2
0000285700,P4
0000285711,P1
0000245693,P1
0000245713,P2
0000397496,P3
0000393044,P2
0000393092,P4
0000397704,P2
0000397870,P2
0000415954,P2
0000415955,P4
0000233162,P3
0000530744,P2
0000530735,P2
0000530736,P3
0000530627,P1
0000528780,P2
0000528743,P4
0000528808,P3
0000528801,P3
0000528816,P3
0000528813,P3
0000528956,P4
0000528529,P4
0000528657,P2
0000528642,P2
0000528578,P1
0000528575,P4
0000528694,P4
0000528685,P3
0000528645,P3
0000528679,P4
0000528573,P2
0000528559,P4
0000528487,P1
0000528510,P2
0000524141,P2
0000524028,P3
0000523977,P4
0000524005,P3
0000523822,P1
0000523969,P2
0000525359,P4
0000525356,P4
0000523944,P1
0000524098,P1
0000526685,P3
0000527395,P4
0000527543,P4
0000528412,P4
0000528410,P4
0000528408,P4
0000527437,P4
0000528044,P4
0000527969,P3
0000527545,P3
0000526934,P2
0000526921,P2
0000528132,P4
0000526644,P4
0000524492,P4
0000524184,P4
0000525899,P4
0000524060,P4
0000526503,P4
0000523867,P2
0000523900,P3
0000524256,P3
0000525155,P2
0000525205,P3
0000525132,P2
0000525162,P4
0000525187,P3
0000525151,P3
0000525252,P2
0000525148,P2
0000525146,P4
0000525249,P2
0000525274,P4
0000525303,P1
0000525433,P4
0000529586,P1
0000240302,P2
0000240577,P4
0000240645,P1
0000530742,P4
0000530734,P2
0000530729,P4
0000530716,P4
0000529864,P3
0000530633,P2
0000528735,P4
0000528797,P1
0000528822,P4
0000528869,P4
0000528778,P4
0000528759,P4
0000528506,P1
0000528514,P3
0000528653,P2
0000528651,P2
0000528659,P4
0000528555,P2
0000528558,P4
0000528583,P4
0000528640,P4
0000528664,P3
0000529971,P4
0000524027,P4
0000524016,P3
0000523803,P3
0000524244,P4
0000524247,P4
0000525654,P2
0000525895,P4
0000526613,P3
0000528244,P2
0000527480,P2
0000527482,P4
0000524894,P2
0000525449,P3
0000524045,P4
0000523939,P3
0000523869,P2
0000525994,P4
0000525147,P4
0000525199,P3
0000525140,P4
0000525290,P4
0000525260,P3
0000525280,P2
0000525436,P3
0000521118,P4
0000521310,P3
0000521100,P3
0000521128,P1
0000239390,P1
0000264169,P2
0000264173,P2
0000264570,P4
0000264846,P3
0000264954,P2
0000239625,P3
0000247821,P4
0000247920,P2
0000247940,P2
0000288384,P1
0000271486,P1
0000231244,P4
0000231327,P1
0000231347,P3
0000233542,P2
0000234171,P2
0000234173,P1
0000233634,P1
0000234348,P1
0000234386,P3
0000234389,P1
0000399226,P2
0000363433,P4
0000363892,P4
0000399606,P4
0000231143,P1
0000231300,P2
0000231542,P2
0000231614,P4
0000231642,P3
0000231737,P2
0000260099,P4
0000289835,P2
0000290452,P2
0000353210,P2
0000241732,P2
0000234779,P3
0000233725,P2
0000233811,P2
0000233836,P2
0000233837,P1
0000400109,P1
0000260330,P4
0000388592,P2
0000233936,P4
0000234671,P2
0000234755,P2
0000248164,P1
0000248212,P2
0000276952,P2
0000290745,P4
0000239612,P2
0000239698,P4
0000239748,P4
0000239786,P2
0000384347,P3
0000384491,P4
0000257303,P4
0000234180,P4
0000234223,P3
0000241802,P3
0000354113,P1
0000231515,P1
0000231695,P1
0000231850,P1
0000231875,P1
0000231907,P4
0000231948,P1
0000232056,P2
0000232157,P1
0000232349,P1
0000234831,P1
0000234864,P2
0000235260,P3
0000235281,P4
0000388524,P2
0000388609,P2
0000388696,P3
0000388881,P3
0000263423,P1
0000388917,P2
0000384591,P2
0000384636,P2
0000257732,P4
0000400029,P2
0000400145,P1
0000234476,P3
0000235287,P3
0000235483,P1
0000239658,P3
