ID,LOCATION,ETIQUETA,TYPE
7145856a-ca81-4b55-b08e-cbe022ed2a37,Homepage,Informative,in_app
172ca44a-53eb-4698-a659-16df3b2e566d,Promotions,Innovation,in_app
a22bdb82-6232-4103-ac5e-c31f7c551a37,Homepage,Marketplace,in_app
af40917f-ae86-4fc1-aaaf-3bcc5bd1a909,Homepage,Innovation,in_app
b67d1743-08ea-464c-bb98-1d85022b73bd,Cart,Educational,in_app
ffad57fd-07ff-44cf-a84d-6198cdc849f6,Homepage,Educational,in_app
2d80cc4f-90c4-49d6-99cb-b2aaf424b7ff,Homepage,Informative,in_app
19caf1bf-c69a-46e9-841f-b032dae008a9,Beer,Educational,in_app
6abcce95-620b-4d03-b419-e71803149727,Homepage,Educational,in_app
857d8662-4a5f-40dc-992f-a732b5a48f20,Homepage,Survey,in_app
443310eb-8acd-4543-a65c-78a20fce04d8,Homepage,Survey,in_app
97f16ed5-4213-42ee-ab39-74d24c0e105a,Homepage,Marketplace,in_app
5a396e1d-b001-427a-be2b-d71446b5d15f,New Products,Marketplace,in_app
9b25d856-77f4-4ced-bf33-c69c05337923,Wines,Marketplace,in_app
288e1557-45a9-4bae-8b1a-b5fed44200d3,My Account,Survey,in_app
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
