ClienteCodigo,Potencial
0000503399,P2
0000419106,P4
0000531885,P4
0000460518,P4
0000530167,P3
0000510485,P4
0000248834,P2
0000519167,P3
0000506882,P2
0000245554,P1
0000533753,P4
0000523325,P4
0000388105,P2
0000517771,P4
0000503024,P4
0000521887,P3
0000504501,P2
0000461482,P3
0000532002,P4
0000482149,P3
0000528759,P2
0000433477,P4
0000314323,P2
0000487699,P4
0000509801,P4
0000446926,P2
0000485221,P1
0000519317,P3
0000273325,P1
0000497837,P2
0000498738,P4
0000481112,P2
0000466062,P3
0000455022,P3
0000404178,P1
0000529383,P3
0000419301,P2
0000498321,P2
0000512908,P2
0000472942,P3
0000475870,P1
0000517664,P4
0000490562,P3
0000531183,P4
0000508193,P3
0000515991,P3
0000503355,P1
0000523858,P1
0000528693,P4
0000528842,P3
0000384932,P4
0000478807,P4
0000533809,P3
0000531294,P3
0000503234,P3
0000492217,P3
0000490898,P4
0000385971,P4
0000443828,P4
0000238687,P2
0000528979,P4
0000482807,P3
0000528776,P2
0000495105,P4
0000514975,P1
0000439987,P3
0000476264,P4
0000472869,P2
0000475806,P3
0000519625,P3
0000481859,P3
0000259422,P4
0000522659,P3
0000465405,P4
0000383871,P2
0000514407,P3
0000382736,P2
0000463251,P4
0000391793,P2
0000461813,P4
0000515333,P4
0000519508,P4
0000525376,P4
0000534606,P4
0000521255,P3
0000481157,P3
0000495175,P4
0000286917,P4
0000533356,P4
0000449373,P3
0000264088,P2
0000476061,P4
0000441712,P1
0000505266,P2
0000301840,P4
0000517321,P2
0000446769,P4
0000529653,P4
0000500992,P4
0000509652,P1
0000504036,P4
0000524896,P4
0000391540,P4
0000509153,P1
0000464421,P3
0000534811,P4
0000534328,P4
0000519988,P4
0000242700,P3
0000441051,P4
0000398001,P2
0000494237,P4
0000479058,P4
0000441546,P4
0000255962,P4
0000533814,P4
0000436341,P4
0000239643,P2
0000505789,P2
0000256938,P3
0000522734,P4
0000516143,P2
0000502937,P4
0000516176,P2
0000532778,P4
0000518535,P4
0000292511,P4
0000518985,P2
0000424801,P2
0000525310,P4
0000531612,P4
0000429667,P3
0000437555,P4
0000521169,P1
0000409167,P3
0000501231,P2
0000487251,P4
0000524091,P4
0000439642,P4
0000239501,P3
0000394823,P4
0000405327,P3
0000539435,P4
0000539436,P3
0000539437,P3
0000539438,P4
0000539439,P1
0000539440,P3
0000539441,P1
0000539442,P2
0000539443,P4
0000539444,P3
0000539445,P3
0000539446,P3
0000539447,P2
0000539448,P3
0000539449,P1
0000527553,P4
0000444380,P4
0000500088,P3
0000392881,P3
0000513927,P1
0000416935,P2
0000531212,P2
0000452499,P3
0000475667,P3
0000481942,P1
0000498356,P4
0000424175,P2
0000528243,P3
0000476033,P3
0000243293,P1
0000503285,P4
0000486215,P4
0000488947,P4
0000517662,P2
0000534118,P4
0000498822,P4
0000540080,P4
0000540081,P4
0000540082,P1
0000540083,P4
0000540084,P4
0000540085,P2
0000540086,P1
0000540087,P3
0000540088,P2
0000540089,P2
0000540090,P4
0000540091,P3
0000540092,P3
0000540093,P4
0000540094,P4
0000540095,P1
0000540096,P4
0000540097,P4
0000540098,P2
0000540099,P2
0000540100,P3
0000540101,P3
0000540102,P1
0000540103,P4
0000540104,P3
0000540105,P4
0000540106,P4
0000540107,P4
0000540108,P3
0000540109,P3
0000540110,P3
0000540111,P4
0000540112,P4
0000540113,P4
0000540114,P2
0000540115,P1
0000540116,P2
0000540117,P3
0000540118,P2
0000541826,P4
0000541827,P4
0000541828,P4
0000541830,P4
0000541831,P4
0000541832,P4
0000541833,P4
0000541834,P4
0000541836,P4
0000541837,P4
0000541838,P4
0000541840,P4
0000541841,P4
0000541842,P4
0000541843,P4
0000541844,P4
0000541845,P4
0000541846,P4
0000541847,P4
0000541848,P4
0000541849,P4
0000541850,P4
0000541851,P4
0000541852,P4
0000541853,P4
0000541854,P4
0000541855,P4
0000541856,P4
0000541857,P4
0000541858,P4
0000541859,P4
0000541860,P4
0000541861,P4
0000541862,P4
0000524750,P4
0000243349,P1
0000426418,P2
0000490980,P3
0000532544,P4
0000474638,P1
0000500986,P2
0000244423,P4
0000493879,P4
0000525625,P2
0000464703,P1
0000424306,P4
0000518497,P4
0000485976,P4
0000234803,P4
0000502931,P4
0000430678,P1
0000392905,P1
0000529283,P1
0000514293,P2
0000419218,P4
0000505486,P2
0000435355,P2
0000401563,P4
0000387514,P2
0000438849,P3
0000530602,P3
0000507915,P4
0000381251,P1
0000518284,P4
0000533823,P4
0000484873,P4
0000503084,P4
0000457179,P3
0000444312,P4
0000477464,P1
0000500928,P4
0000505547,P2
0000511667,P4
0000470326,P2
0000423908,P2
0000236489,P1
0000392154,P3
0000526102,P2
0000484404,P4
0000501512,P2
0000522056,P3
0000506601,P1
0000466228,P1
0000449423,P1
0000454298,P3
0000483867,P2
0000526057,P4
0000437327,P3
0000449970,P1
0000496813,P4
0000532505,P2
0000534981,P3
0000504611,P3
0000504371,P3
0000479879,P4
0000478412,P2
0000506051,P2
0000530553,P2
0000489432,P2
0000487235,P1
0000474842,P4
0000526921,P3
0000528966,P2
0000498317,P4
0000508589,P4
0000534758,P3
0000262045,P4
0000238192,P4
0000490638,P3
0000425570,P2
0000517927,P4
0000486950,P4
0000533435,P3
0000408128,P3
0000486097,P2
0000404203,P4
0000503370,P1
0000455864,P2
0000241388,P2
0000421281,P3
0000514034,P4
0000501958,P4
0000239849,P4
0000383620,P2
0000408551,P4
0000410933,P2
0000527665,P4
0000281045,P4
0000390875,P4
0000495337,P4
0000449067,P2
0000458921,P2
0000527451,P2
0000256276,P4
0000529799,P3
0000457078,P3
0000527781,P4
0000491422,P4
0000478694,P4
0000429709,P2
0000492431,P1
0000258690,P4
0000527482,P4
0000450739,P3
0000507196,P4
0000507656,P1
0000496956,P3
0000527696,P2
0000525550,P4
0000397302,P4
0000493818,P3
0000456384,P4
0000431488,P2
0000473016,P3
0000487540,P3
0000462781,P2
0000397657,P3
0000484903,P4
0000466226,P4
0000467458,P2
0000389065,P2
0000490546,P4
0000265624,P2
0000412490,P3
0000434006,P4
0000498268,P4
0000486085,P3
0000505162,P4
0000476136,P3
0000496734,P3
0000527478,P4
0000496267,P3
0000257162,P2
0000400996,P4
0000525777,P4
0000532065,P1
0000532212,P3
0000502538,P3
0000433416,P4
0000531790,P4
0000511035,P3
0000522229,P3
0000522706,P4
0000384491,P4
0000508704,P3
0000269210,P1
0000486483,P3
0000529690,P4
0000521382,P3
0000261589,P2
0000530751,P4
0000480029,P3
0000518270,P2
0000518948,P3
0000518734,P4
0000506820,P3
0000524777,P4
0000250593,P2
0000521283,P4
0000240240,P3
0000431839,P3
0000517179,P4
0000405543,P2
0000382980,P4
0000511023,P3
0000431574,P2
0000447059,P4
0000500079,P2
0000442794,P4
0000528508,P2
0000385148,P4
0000465118,P2
0000406105,P1
0000515362,P4
0000513782,P3
0000232160,P3
0000525188,P4
0000433944,P4
0000479901,P4
0000385994,P2
0000487719,P2
0000532653,P2
0000525481,P1
0000496523,P3
0000453802,P2
0000527334,P4
0000251453,P3
0000526629,P2
0000232157,P1
0000417545,P3
0000533239,P2
0000438785,P2
0000448317,P4
0000507033,P2
0000506129,P1
0000513392,P3
0000525778,P3
0000440934,P4
0000490679,P3
0000520880,P4
