ClienteCodigo,RFM_Score,RFM_Level
231636,8,Medium
231638,11,High
231642,9,High
231648,4,Needs Attention
231655,10,High
231659,9,High
231661,8,Medium
231662,10,High
231663,11,High
231679,10,High
231681,5,Promising
231689,10,High
231693,3,Require Activation
231695,12,High
231697,10,High
231707,12,High
231708,10,High
231721,9,High
231724,9,High
231725,10,High
231727,10,High
231731,9,High
231734,12,High
231737,9,High
231745,6,Promising
231753,12,High
231758,9,High
231760,3,Require Activation
231761,6,Promising
231763,8,Medium
231768,3,Require Activation
231772,11,High
231780,6,Promising
231789,3,Require Activation
231795,8,Medium
231804,10,High
231805,8,Medium
231814,10,High
231819,3,Require Activation
231820,11,High
231821,10,High
231824,3,Require Activation
231831,7,Medium
231832,8,Medium
231837,4,Needs Attention
231838,8,Medium
231846,7,Medium
231847,9,High
231849,11,High
231850,11,High
231856,10,High
231860,12,High
231862,4,Needs Attention
231875,11,High
231888,12,High
231889,11,High
231903,4,Needs Attention
231907,3,Require Activation
231910,11,High
231912,11,High
231914,3,Require Activation
231916,10,High
231920,8,Medium
231924,7,Medium
231932,10,High
231945,10,High
231948,12,High
231951,11,High
231953,11,High
231954,11,High
231960,8,Medium
231964,8,Medium
231967,9,High
231969,10,High
231970,10,High
231983,8,Medium
231984,11,High
231986,3,Require Activation
231988,3,Require Activation
231999,5,Promising
232003,4,Needs Attention
232009,8,Medium
232017,12,High
232019,11,High
232022,8,Medium
232028,7,Medium
232032,3,Require Activation
232041,8,Medium
232050,9,High
232053,10,High
232054,10,High
232072,7,Medium
232081,7,Medium
232090,7,Medium
232094,10,High
232103,8,Medium
232113,12,High
232121,11,High
232123,3,Require Activation
232130,8,Medium
232132,6,Promising
232141,4,Needs Attention
232142,11,High
232145,11,High
232146,9,High
232151,11,High
232157,11,High
232160,4,Needs Attention
232172,3,Require Activation
232173,10,High
232175,5,Promising
232180,12,High
232186,11,High
232188,9,High
232191,11,High
232197,11,High
232199,11,High
232200,6,Promising
232203,4,Needs Attention
232205,9,High
232207,9,High
232212,8,Medium
232218,11,High
232223,10,High
232228,9,High
232235,9,High
232238,5,Promising
232249,9,High
232252,10,High
232254,10,High
232255,8,Medium
232256,12,High
232257,3,Require Activation
232262,9,High
232264,3,Require Activation
232270,6,Promising
232271,8,Medium
232280,8,Medium
232288,11,High
232290,12,High
232291,12,High
232293,3,Require Activation
232295,5,Promising
232296,11,High
232297,8,Medium
232302,12,High
232303,9,High
232305,8,Medium
232308,11,High
232310,10,High
232312,5,Promising
232313,3,Require Activation
232318,11,High
232324,12,High
232326,11,High
232327,10,High
232331,12,High
232332,3,Require Activation
232335,10,High
232336,11,High
232337,12,High
232339,5,Promising
232340,9,High
232344,12,High
232349,11,High
232352,10,High
232354,11,High
232360,9,High
232362,7,Medium
232363,11,High
232364,11,High
232366,8,Medium
232368,8,Medium
232369,11,High
232373,11,High
232374,3,Require Activation
232376,12,High
232377,12,High
232382,11,High
232383,9,High
232385,8,Medium
232387,12,High
232389,12,High
232392,10,High
232396,8,Medium
232398,5,Promising
232401,11,High
232402,9,High
232403,8,Medium
232405,12,High
232406,9,High
232407,10,High
232408,6,Promising
232409,10,High
232412,5,Promising
232418,12,High
232419,12,High
232421,3,Require Activation
232423,11,High
232425,12,High
232426,12,High
232428,11,High
232429,9,High
232430,3,Require Activation
232438,7,Medium
232441,8,Medium
232442,5,Promising
232443,7,Medium
232449,8,Medium
232451,10,High
232453,12,High
232455,12,High
232462,5,Promising
232469,12,High
232477,3,Require Activation
232480,10,High
232481,9,High
232492,11,High
232495,5,Promising
232503,7,Medium
232505,6,Promising
232507,12,High
232512,9,High
232513,6,Promising
232524,8,Medium
232527,8,Medium
232529,7,Medium
232531,10,High
232532,9,High
232533,9,High
232539,9,High
232565,10,High
232566,12,High
232568,8,Medium
232570,5,Promising
232575,11,High
232584,12,High
232585,5,Promising
232587,9,High
232590,10,High
232592,7,Medium
232595,11,High
232596,10,High
232604,11,High
232605,12,High
232606,8,Medium
232609,11,High
232610,12,High
232614,8,Medium
232615,10,High
232616,10,High
232617,11,High
232618,5,Promising
232619,11,High
232623,11,High
232624,11,High
232625,9,High
232626,8,Medium
232628,10,High
232631,8,Medium
232632,7,Medium
232633,12,High
232636,6,Promising
232637,10,High
232640,11,High
232641,7,Medium
232646,10,High
232649,10,High
232654,11,High
232658,9,High
232661,12,High
232668,10,High
232672,5,Promising
232673,11,High
232674,9,High
232675,10,High
232679,12,High
232684,11,High
232685,3,Require Activation
232688,9,High
232696,3,Require Activation
232698,12,High
232700,12,High
232702,10,High
232703,4,Needs Attention
232705,6,Promising
232706,9,High
232714,12,High
232715,12,High
232717,9,High
232719,10,High
232723,9,High
232724,10,High
232736,8,Medium
232743,3,Require Activation
232744,8,Medium
232748,8,Medium
232749,10,High
232752,6,Promising
232753,8,Medium
232754,8,Medium
232755,11,High
232757,3,Require Activation
232761,10,High
232763,7,Medium
232773,8,Medium
232776,11,High
232777,10,High
232778,12,High
232781,11,High
232782,7,Medium
232785,10,High
232786,10,High
232787,8,Medium
232790,8,Medium
232793,9,High
232795,8,Medium
232796,11,High
232797,12,High
232818,11,High
232819,11,High
232824,9,High
232830,9,High
232831,8,Medium
232832,9,High
232839,8,Medium
232842,4,Needs Attention
232847,7,Medium
232852,4,Needs Attention
232853,10,High
232855,8,Medium
232860,9,High
232862,12,High
232865,10,High
232870,11,High
232872,9,High
232883,5,Promising
232887,3,Require Activation
232889,11,High
232894,10,High
232898,12,High
232900,5,Promising
232904,11,High
232910,8,Medium
232913,11,High
232914,10,High
232919,11,High
232920,9,High
232922,6,Promising
232925,11,High
232927,11,High
232928,3,Require Activation
232930,9,High
232932,9,High
232935,3,Require Activation
232937,3,Require Activation
232945,11,High
232949,12,High
232961,10,High
232962,5,Promising
232967,10,High
232969,11,High
232974,9,High
232975,10,High
232980,12,High
232983,3,Require Activation
232985,5,Promising
232990,9,High
232999,7,Medium
233007,8,Medium
233008,10,High
233011,12,High
233024,12,High
233037,11,High
233039,6,Promising
233045,11,High
233051,10,High
233058,3,Require Activation
233068,11,High
233070,12,High
233079,8,Medium
233086,3,Require Activation
233087,10,High
233096,3,Require Activation
233097,6,Promising
233099,10,High
233103,9,High
233106,12,High
233108,9,High
233110,10,High
233111,3,Require Activation
233113,9,High
233115,8,Medium
233117,4,Needs Attention
233120,8,Medium
233126,8,Medium
233127,3,Require Activation
233130,6,Promising
233132,12,High
233142,9,High
233148,9,High
233158,9,High
233160,9,High
233162,6,Promising
233166,9,High
233167,11,High
233172,6,Promising
233173,7,Medium
233178,11,High
233180,3,Require Activation
233182,7,Medium
233183,9,High
233184,9,High
233186,9,High
233190,6,Promising
233192,5,Promising
233193,6,Promising
233196,11,High
233198,11,High
233202,4,Needs Attention
233206,6,Promising
233208,10,High
233211,12,High
233215,3,Require Activation
233217,11,High
233220,9,High
233221,10,High
233222,6,Promising
233223,4,Needs Attention
233225,3,Require Activation
233229,9,High
233231,9,High
233232,8,Medium
233237,12,High
233239,9,High
233248,11,High
233256,10,High
233258,5,Promising
233259,11,High
233261,10,High
233262,11,High
233265,8,Medium
233271,10,High
233282,11,High
233283,9,High
233285,12,High
233286,11,High
233287,11,High
233288,10,High
233290,10,High
233292,12,High
233293,6,Promising
233294,10,High
233295,12,High
233296,6,Promising
233297,12,High
233298,11,High
233301,12,High
233302,11,High
233303,10,High
233306,5,Promising
233309,9,High
233312,12,High
233314,12,High
233315,11,High
233316,11,High
233322,11,High
233339,5,Promising
233342,10,High
233347,9,High
233350,10,High
233351,7,Medium
233352,10,High
233354,11,High
233356,12,High
233359,12,High
233362,8,Medium
233365,8,Medium
233366,6,Promising
233370,8,Medium
233372,10,High
233376,10,High
233380,8,Medium
233381,9,High
233382,6,Promising
233385,10,High
233389,9,High
233392,3,Require Activation
233394,3,Require Activation
233395,12,High
233396,6,Promising
233405,12,High
233408,10,High
233413,12,High
233419,10,High
233421,9,High
233423,10,High
233426,10,High
233431,9,High
233432,11,High
233438,3,Require Activation
233440,10,High
233445,10,High
233446,6,Promising
233448,10,High
233456,9,High
233458,9,High
233459,10,High
233461,9,High
233462,3,Require Activation
233463,11,High
233493,12,High
233498,6,Promising
233499,9,High
233505,10,High
233506,11,High
233507,3,Require Activation
233511,11,High
233512,11,High
233514,3,Require Activation
233516,10,High
233517,7,Medium
233519,4,Needs Attention
233526,9,High
233530,9,High
233532,4,Needs Attention
233535,11,High
233542,11,High
233543,9,High
233548,5,Promising
233549,3,Require Activation
233555,11,High
233559,5,Promising
233564,11,High
233571,8,Medium
233573,11,High
233575,6,Promising
233578,10,High
233580,5,Promising
233581,6,Promising
233585,12,High
233589,9,High
233590,8,Medium
233593,11,High
233594,9,High
233597,9,High
233604,9,High
233610,8,Medium
233611,7,Medium
233612,5,Promising
233613,11,High
233614,3,Require Activation
233616,9,High
233626,8,Medium
233627,8,Medium
233628,11,High
233633,8,Medium
233634,12,High
233638,10,High
233640,9,High
233660,11,High
233663,10,High
233676,4,Needs Attention
233677,9,High
233682,7,Medium
233683,12,High
233684,8,Medium
233691,9,High
233692,12,High
233696,4,Needs Attention
233698,12,High
233699,10,High
233700,11,High
233702,11,High
233703,12,High
233704,8,Medium
233708,8,Medium
233710,9,High
233715,6,Needs Attention
233717,6,Promising
233718,10,High
233719,8,Medium
233720,9,High
233723,11,High
233725,11,High
233726,10,High
233729,12,High
233744,6,Promising
233749,6,Promising
233752,6,Promising
233756,9,High
233760,9,High
233761,8,Medium
233762,5,Promising
233773,6,Promising
233781,11,High
233782,6,Promising
233787,8,Medium
233788,12,High
233790,10,High
233801,7,Medium
233805,11,High
233807,5,Promising
233809,8,Medium
233811,8,Medium
233812,12,High
233818,12,High
233819,5,Promising
233820,12,High
233823,6,Promising
233825,8,Medium
233826,3,Require Activation
233827,11,High
233832,9,High
233835,6,Promising
233836,9,High
233837,10,High
233838,6,Promising
233846,11,High
233847,9,High
233849,6,Promising
233852,3,Require Activation
233869,11,High
233873,12,High
233876,4,Needs Attention
233880,9,High
233883,5,Promising
233886,7,Medium
233895,8,Medium
233896,8,Medium
233897,12,High
233899,12,High
233903,10,High
233904,3,Require Activation
233909,8,Medium
233915,11,High
233921,9,High
233926,11,High
233927,12,High
233931,9,High
233934,8,Medium
233939,5,Needs Attention
233945,12,High
233946,7,Medium
233950,10,High
233951,7,Medium
233957,12,High
233961,7,Medium
233964,3,Require Activation
233971,10,High
233982,12,High
233984,11,High
233987,12,High
233991,12,High
233992,12,High
233995,4,Needs Attention
233996,6,Promising
234017,11,High
234023,12,High
234027,6,Promising
234029,11,High
234031,7,Medium
234035,3,Require Activation
234050,7,Medium
