ClienteCodigo,RFM_Score,RFM_Level
0000233703,11,High
0000233704,10,High
0000233708,11,High
0000233710,9,High
0000233715,5,Needs Attention
0000233717,8,Medium
0000233718,10,High
0000233719,11,High
0000233720,8,Medium
0000233723,12,High
0000233725,12,High
0000233726,12,High
0000233729,12,High
0000233744,9,High
0000233749,4,Needs Attention
0000233752,10,High
0000233756,6,Promising
0000233760,6,Needs Attention
0000233761,10,High
0000233762,6,Promising
0000233773,5,Promising
0000233781,9,High
0000233787,8,Medium
0000233788,12,High
0000233790,10,High
0000233798,3,Require Activation
0000233801,9,High
0000233805,11,High
0000233807,5,Promising
0000233809,9,High
0000233812,11,High
0000233818,12,High
0000233819,9,High
0000233820,12,High
0000233823,8,Medium
0000233825,5,Promising
0000233826,3,Require Activation
0000233827,10,High
0000233832,4,Needs Attention
0000233835,8,Medium
0000233836,11,High
0000233837,12,High
0000233838,11,High
0000233846,10,High
0000233847,12,High
0000233849,6,Promising
0000233869,10,High
0000233873,12,High
0000233880,5,Promising
0000233883,6,Promising
0000233886,8,Medium
0000233895,5,Promising
0000233896,8,Medium
0000233897,12,High
0000233899,11,High
0000233903,9,High
0000233904,3,Require Activation
0000233909,9,High
0000233915,12,High
0000233921,6,Promising
0000233926,11,High
0000233927,9,High
0000233931,11,High
0000233934,10,High
0000233939,6,Needs Attention
0000233945,12,High
0000233946,4,Needs Attention
0000233950,11,High
0000233951,8,Medium
0000233957,10,High
0000233961,7,Medium
0000233964,5,Promising
0000233971,10,High
0000233982,12,High
0000233984,8,Medium
0000233987,11,High
0000233991,12,High
0000233992,10,High
0000233995,5,Promising
0000233996,6,Promising
0000234017,8,Medium
0000234023,9,High
0000234027,9,High
0000234029,9,High
0000234031,6,Promising
0000234050,7,Medium
0000234053,9,High
0000234062,7,Medium
0000234065,11,High
0000234066,10,High
0000234067,7,Medium
0000234069,9,High
0000234071,7,Medium
0000234082,9,High
0000234085,11,High
0000234088,8,Medium
0000234089,12,High
0000234091,9,High
0000234093,12,High
0000234097,8,Medium
0000234099,7,Medium
0000234102,12,High
0000234104,9,High
0000234105,7,Medium
0000234113,5,Promising
0000234121,10,High
0000234128,6,Promising
0000234130,11,High
0000234133,11,High
0000234137,10,High
0000234143,9,High
0000234154,10,High
0000234156,10,High
0000234162,12,High
0000234164,7,Medium
0000234171,10,High
0000234172,11,High
0000234173,9,High
0000234176,11,High
0000234180,3,Require Activation
0000234181,8,Medium
0000234186,4,Needs Attention
0000234188,7,Medium
0000234193,11,High
0000234195,12,High
0000234208,4,Needs Attention
0000234210,12,High
0000234211,12,High
0000234216,10,High
0000234219,11,High
0000234223,4,Needs Attention
0000234229,11,High
0000234230,7,Medium
0000234231,3,Require Activation
0000234239,7,Medium
0000234245,4,Needs Attention
0000234253,11,High
0000234254,10,High
0000234260,12,High
0000234262,8,Medium
0000234273,11,High
0000234274,3,Require Activation
0000234281,11,High
0000234290,9,High
0000234292,11,High
0000234294,8,Medium
0000234297,5,Promising
0000234298,10,High
0000234301,12,High
0000234307,10,High
0000234312,12,High
0000234313,12,High
0000234314,11,High
0000234319,11,High
0000234321,8,Medium
0000234326,7,Medium
0000234344,7,Medium
0000234348,12,High
0000234353,12,High
0000234361,11,High
0000234362,7,Medium
0000234372,6,Promising
0000234375,3,Require Activation
0000234379,11,High
0000234381,9,High
0000234384,5,Needs Attention
0000234386,6,Promising
0000234389,6,Needs Attention
